participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.aa_treatment,player.ra_treatment,player.action1_b,player.green_red,player.a_or_b,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
68,hnhpj8w3,,0,26,25,v3_ra_outro,Dropouts,10.45.230.101,2019-03-11 14:30:02.552150+00:00,1,A23OR0D1FCUVMM,3MRNMEIQW6W03D4O8CU12PMKHK2LD2,0.00,68,0,1,1,23,32,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
69,g5cumu5k,,0,26,25,v3_ra_outro,Dropouts,10.16.196.195,2019-03-11 14:30:02.990130+00:00,1,A36CZ0F88ELFWF,38SKSKU7R2NHBOKA0QVCTM2X9PAIL1,0.00,69,0,1,0,32,48,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
70,gjz5pn7r,,0,26,25,v3_ra_outro,Dropouts,10.142.105.142,2019-03-11 14:30:03.335322+00:00,1,A2PXJTMWGUE5DC,3E4GGUZ1T9H2GXOQQNYJR6I1VT92K8,0.00,70,0,1,0,73,28,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
71,djs7p81i,,0,26,25,v3_ra_outro,Dropouts,10.158.224.13,2019-03-11 14:30:03.144056+00:00,1,A36OLZLW29173F,37UQDCYH6YLNI9F8V3TLP6AQM71V72,3.00,71,0,1,1,31,20,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
72,14inuk1t,,0,26,25,v3_ra_outro,Dropouts,10.47.178.240,2019-03-11 14:30:03.764838+00:00,1,A1V1Q9L3DG40WQ,3HMIGG0U4MW8MHFWAJ8BA5AFF89Y81,3.00,72,0,1,1,26,26,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
73,m49wimhv,,0,26,25,v3_ra_outro,Dropouts,10.16.189.159,2019-03-11 14:30:04.234525+00:00,1,A1BEM74QY3Y2GT,3E337GFOLAYT3XH0MFBOL2T6Z7INGG,0.00,73,0,1,0,27,78,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
74,dhie2lmd,,0,26,25,v3_ra_outro,Dropouts,10.31.252.147,2019-03-11 14:30:04.271372+00:00,1,A2FCT2TWW60S1S,3Y5140Z9DY6729Z8SIOJA3BHEZBIPZ,0.00,74,0,1,0,30,51,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
75,xznxjphg,,0,1,25,v3_ra_intro,Introduction,10.31.252.147,2019-03-11 14:30:04.549651+00:00,1,A3HNEYFOIJWPH1,3FUI0JHJPYOL5HC29HKPTU6RQLN339,0.00,75,0,1,,,,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
76,67mwuzoq,,0,26,25,v3_ra_outro,Dropouts,10.16.211.44,2019-03-11 14:30:04.715371+00:00,1,A2V3P1XE33NYC3,34J10VATJGOS2L0NSV38A81RJVXIQQ,0.00,76,0,1,1,20,17,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
77,gusgja9m,,0,26,25,v3_ra_outro,Dropouts,10.43.183.70,2019-03-11 14:30:04.989411+00:00,1,ALLP45O3BDWYM,36V4Q8R5ZLQEY4QEDA10218804HQME,0.00,77,0,1,1,14,40,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
78,x3ci6m8o,,0,26,25,v3_ra_outro,Dropouts,10.31.82.156,2019-03-11 14:30:05.482342+00:00,1,A1T208Y507O4RS,33CKWXB73KATLBK8Z9SNH8CXUHV11N,1.00,78,0,1,0,12,96,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
79,xpjbrsb5,,0,3,25,v3_ra_intro,Comprehension1,10.7.214.75,2019-03-11 14:30:05.948380+00:00,1,APGBQQ5XS3Q4P,32UTUBMZ7HMAKLIY8K51U8WM5XSVBO,0.00,79,0,1,,,,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
80,nm7yr6ia,,0,3,25,v3_ra_intro,Comprehension1,10.183.247.215,2019-03-11 14:30:05.875085+00:00,1,A2APPZDU0VS9LN,3DOCMVPBTO4ZDPYM9JOJBM230J4NNO,0.00,80,0,1,,,,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
81,33jpvprn,,0,3,25,v3_ra_intro,Comprehension1,10.165.239.55,2019-03-11 14:30:08.634585+00:00,1,ASX4MTN6OIMQZ,32M8BPYGAUC1PW69PZYWGUXPD8OIGV,0.00,81,0,1,,,,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
82,ogf4bxkf,,0,4,25,v3_ra_intro,Comprehension1_check,10.37.161.166,2019-03-11 14:30:07.810837+00:00,1,A3OC0ZHZBEPEA3,3X65QVEQI1DQYLYA8GZQIJ42WKQLC2,0.00,82,0,1,,,,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
83,wl6pubqa,,0,26,25,v3_ra_outro,Dropouts,10.69.141.3,2019-03-11 14:30:07.077642+00:00,1,A1FUR4UJ0S46W6,33L7PJKHCHOC5VG20DLC2OI006RT87,0.00,83,0,1,0,22,47,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
84,32yu4zf6,,0,26,25,v3_ra_outro,Dropouts,10.180.173.24,2019-03-11 14:30:07.201994+00:00,1,A1P0XSCJ9XAV74,3OXV7EAXLFGK20ZKSJIN0XIB0CP36F,0.00,84,0,1,1,15,5,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
85,eie8oyop,,0,26,25,v3_ra_outro,Dropouts,10.30.66.130,2019-03-11 14:30:08.629680+00:00,1,A35TWG9VW1MB5S,3ATPCQ38J90M558B7HSP6WGA5W9YA5,0.00,85,0,1,1,82,76,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
86,3zkmsf4k,,0,26,25,v3_ra_outro,Dropouts,10.65.243.160,2019-03-11 14:30:08.983430+00:00,1,A8VFIXE5FL8C6,3HUTX6F6VVDL6O95OFQCYNZAFYJ2OS,1.00,86,0,1,0,50,43,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
87,bac61nyy,,0,26,25,v3_ra_outro,Dropouts,10.5.214.222,2019-03-11 14:30:09.902525+00:00,1,AS2WTWYVRW9BV,3RSDURM96BCPVIPNNMUB2F61QB7YE0,1.00,87,0,1,0,31,28,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
88,hfbibfqt,,0,4,25,v3_ra_intro,Comprehension1_check,10.45.104.185,2019-03-11 14:30:10.021577+00:00,1,AY5OS6NZWVX22,3YDTZAI2WY6ADAHRMRBPF6J0615140,0.00,88,0,1,,,,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
89,gekpc7ke,,0,26,25,v3_ra_outro,Dropouts,10.165.159.217,2019-03-11 14:30:10.004231+00:00,1,A1G1OO4IWM8EP5,3G0WWMR1UWAKGMBEPBG0FGX85URNQB,1.00,89,0,1,0,94,18,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
90,plns7q3b,,0,10,25,v3_round1,Decision,10.31.68.214,2019-03-11 14:30:11.217539+00:00,1,A2MHPG30DV35JM,3LO69W1SU433FXEFA2V98APHUCILGC,0.00,90,0,1,,,,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
91,sfgdwme5,,0,26,25,v3_ra_outro,Dropouts,10.7.217.98,2019-03-11 14:30:10.620387+00:00,1,A1GQBMKG5J6MX4,3X87C8JFV71HWZ3JX7XMEA7ESTZQSQ,0.00,91,0,1,0,67,42,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
92,sidzv42z,,0,26,25,v3_ra_outro,Dropouts,10.41.227.30,2019-03-11 14:30:11.880097+00:00,1,ATMCW0V0SVR7Y,3EA3QWIZ4JL5U1SF9ZX3FDCE32WIT4,0.00,92,0,1,0,83,89,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
93,qiiqrt98,,0,26,25,v3_ra_outro,Dropouts,10.37.253.239,2019-03-11 14:30:12.124978+00:00,1,ANBWJZYU2A68T,3WMOAN2SRCNCLU7VBAAAL3WGMM6NV5,0.00,93,0,1,1,15,81,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
94,85aok41g,,0,26,25,v3_ra_outro,Dropouts,10.35.246.111,2019-03-11 14:30:13.531392+00:00,1,A3BHZK3VM0ZL0F,3IOEN3P9S89OSXL55F44C43E2SB16L,0.00,94,0,1,0,72,83,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
95,b8obcalm,,0,2,25,v3_ra_intro,Instructions1,10.45.71.96,2019-03-11 14:30:13.829488+00:00,1,A32XCTDWEIXDI0,386PBUZZXGND6Z4GI8GC5NHXM4ZLJG,0.00,95,0,1,,,,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
96,gb95r6j0,,0,26,25,v3_ra_outro,Dropouts,10.7.214.75,2019-03-11 14:30:13.570485+00:00,1,A1EUBMQ86K32XE,3MB8LZR5BGJ8HJAY0TGO62HA1TZLKF,0.00,96,0,1,1,76,30,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
97,35bg6nx0,,0,26,25,v3_ra_outro,Dropouts,10.31.125.56,2019-03-11 14:30:14.160217+00:00,1,A1S6C6EN8MPKC3,3A4NIXBJ77P377A1L5T4LF9EQYULMK,0.00,97,0,1,0,17,84,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
98,0k9ltpez,,0,1,25,v3_ra_intro,Introduction,10.51.153.228,2019-03-11 14:30:15.081950+00:00,1,AF9Z5TFLGRO8K,39LOEL67OTV76EI8LYFLKBE267F381,0.00,98,0,1,,,,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
99,ro5tjh49,,0,26,25,v3_ra_outro,Dropouts,10.95.165.34,2019-03-11 14:30:14.844325+00:00,1,A153PUHT5PUNG6,30LB5CDZND0Q9IKYB1XFVXDZ2420Z8,0.00,99,0,1,0,58,51,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
100,hm6kxud0,,0,3,25,v3_ra_intro,Comprehension1,10.16.177.123,2019-03-11 14:30:15.752666+00:00,1,A2WU55250BNVFM,3J4Q2Z4UTZTA3GKSHC7NBZAZY6VQW5,0.00,100,0,1,,,,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
101,5pmur2s1,,0,3,25,v3_ra_intro,Comprehension1,10.29.123.107,2019-03-11 14:30:15.047333+00:00,1,A30VAYXB85107X,3JPSL1DZ5TPST64X0FJEPGI31C5NA4,0.00,101,0,1,,,,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
102,5drmz8x5,,0,26,25,v3_ra_outro,Dropouts,10.69.213.200,2019-03-11 14:30:18.446496+00:00,1,AC396MFV99CA6,34S9DKFK74FTPO20GLXUS20A438NYE,1.00,102,0,1,0,88,45,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
103,jpyz25yo,,0,26,25,v3_ra_outro,Dropouts,10.65.212.112,2019-03-11 14:30:16.243925+00:00,1,ALDWVFR4I0V2D,374TNBHA8CLESLFSWDPBWWVF9EVQY4,1.00,103,0,1,0,6,14,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
104,ttqi3wyi,,0,26,25,v3_ra_outro,Dropouts,10.30.97.150,2019-03-11 14:30:16.769115+00:00,1,A3TO08PPAAG6YU,3OB0CAO74IF1FSGPDN2HNI3EIRZYHG,0.00,104,0,1,1,35,51,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
105,fpa5fzg9,,0,26,25,v3_ra_outro,Dropouts,10.151.196.51,2019-03-11 14:30:17.207582+00:00,1,A1S7WGRS6BVBGW,3P1L2B7AD2FR7AVDYL8HDJYJLY9LOZ,0.00,105,0,1,0,44,64,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
106,mdvorn7j,,0,26,25,v3_ra_outro,Dropouts,10.35.246.111,2019-03-11 14:30:17.964394+00:00,1,A2TM31UYSYYGNU,3K5TEWLKGW1K7TW4EUXIGV0Z0NCVIX,0.00,106,0,1,0,3,29,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
107,kxz0tnjp,,0,26,25,v3_ra_outro,Dropouts,10.33.237.158,2019-03-11 14:30:18.451962+00:00,1,A1B11EGWKRD2PY,31Q0U3WYDQ57WXZAOP9WII3AX3V17K,0.00,107,0,1,1,3,3,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
108,12ytraum,,0,2,25,v3_ra_intro,Instructions1,10.30.66.130,2019-03-11 14:30:19.384094+00:00,1,A1K8QNLYYYX21W,3PM8NZGV8Z6PSGPIRH39DIO6781QXY,0.00,108,0,1,,,,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
109,6qfre53y,,0,26,25,v3_ra_outro,Dropouts,10.47.209.93,2019-03-11 14:30:19.480817+00:00,1,A1NMWUK6TZG333,3F0BG9B9MQD4M3AD0EG5W5EK4O47YO,1.00,109,0,1,0,17,33,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
110,me00djh2,,0,26,25,v3_ra_outro,Dropouts,10.65.63.158,2019-03-11 14:30:19.705657+00:00,1,A3HI6K8RIQ8A7X,3SBEHTYCWOT1BNR9J5K2NU4TI4EYI9,0.00,110,0,1,0,79,63,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
111,1lrnma1l,,0,26,25,v3_ra_outro,Dropouts,10.13.216.97,2019-03-11 14:30:19.841800+00:00,1,A3L8LSM7V7KX3T,32SVAV9L3GZLP2BNIWZZG2KXWVF3A5,0.00,111,0,1,1,11,21,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
112,ydzy1bu6,,0,26,25,v3_ra_outro,Dropouts,10.16.229.125,2019-03-11 14:30:19.930176+00:00,1,APRZ7BR8C0ZMQ,3XLBSAQ9Z524RTKIW0IOACNMAI87ZF,3.00,112,0,1,1,10,44,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
113,5dzyhof8,,0,26,25,v3_ra_outro,Dropouts,10.30.98.189,2019-03-11 14:30:20.679375+00:00,1,A22A52DRIIEV6K,3YOH7BII0AXBDOMSEXIUTBFCSR1VK8,1.00,113,0,1,1,0,1,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
114,7lguifkg,,0,26,25,v3_ra_outro,Dropouts,10.29.123.33,2019-03-11 14:30:20.515946+00:00,1,A3KQZ7XGK5N58I,3K9FOBBF2I99PPV1X684YUYEVO4NLM,0.00,114,0,1,1,9,21,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
115,khgkklfk,,0,26,25,v3_ra_outro,Dropouts,10.31.52.57,2019-03-11 14:30:21.009290+00:00,1,A2SM1GBN4ARGM4,36U2A8VAG2PSHIHXJ85E0AJ6A83YKK,0.00,115,0,1,0,17,41,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
116,e627qbhv,,0,26,25,v3_ra_outro,Dropouts,10.186.232.10,2019-03-11 14:30:21.227154+00:00,1,A2TIKP7M8MG3BJ,34QN5IT0T0HBPMJB2BX2IDGV3VV80B,0.00,116,0,1,1,21,23,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
117,88ua41vt,,0,26,25,v3_ra_outro,Dropouts,10.35.246.111,2019-03-11 14:30:21.383855+00:00,1,A2SD7GN80U31GW,3WMOAN2SRCNCLU7VBAAAL3WGMM6VND,0.00,117,0,1,0,30,24,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
118,bx0e8jgf,,0,1,25,v3_ra_intro,Introduction,10.47.180.215,2019-03-11 14:30:22.360688+00:00,1,AAM0Q3DCSSQ0A,3DR23U6WE64TEWQTDG7CUYEMB9PTE6,0.00,118,0,1,,,,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
119,pcty4zxo,,0,26,25,v3_ra_outro,Dropouts,10.31.82.156,2019-03-11 14:30:24.217807+00:00,1,A1L3937MY09J3I,3OVR4I9USQ9YUE187614G7R8EDWQ4J,0.00,119,0,1,1,51,51,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
120,qz57g8yj,,0,26,25,v3_ra_outro,Dropouts,10.28.203.240,2019-03-11 14:30:24.398863+00:00,1,A94604LMX24XZ,3JRJSWSMQIBOFFSZY11LCLAOHAD3E0,0.00,120,0,1,1,62,73,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
121,unpm8d4r,,0,26,25,v3_ra_outro,Dropouts,10.69.178.208,2019-03-11 14:30:24.550360+00:00,1,A1FHVIOYWEAWTM,3VA45EW49ODEH3R95BQYT4P5NS4O1W,0.00,121,0,1,0,3,98,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
122,dof2zcog,,0,26,25,v3_ra_outro,Dropouts,10.63.72.93,2019-03-11 14:30:24.867713+00:00,1,A3MHYBS6PHJ5QG,3EA3QWIZ4JL5U1SF9ZX3FDCE32WTIF,0.00,122,0,1,0,6,30,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
123,q3vytdg0,,0,26,25,v3_ra_outro,Dropouts,10.43.218.240,2019-03-11 14:30:25.003437+00:00,1,A1CFMY4CEYOM8Y,3WJEQKOXA9SPFZX8VSLGS950YB11AB,0.00,123,0,1,1,76,93,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
124,z9bnc5kx,,0,26,25,v3_ra_outro,Dropouts,10.35.218.93,2019-03-11 14:30:25.697778+00:00,1,A1RG6DXHRLUGDI,39O5D9O87UI9IH8L2AVQMXALWY03C7,1.00,124,0,1,0,15,33,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
125,7ecj0x02,,0,26,25,v3_ra_outro,Dropouts,10.45.35.78,2019-03-11 14:30:28.377526+00:00,1,A1ADRXIM4OQM27,3HUTX6F6VVDL6O95OFQCYNZAFYIO2D,1.00,125,0,1,0,47,77,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
126,pxr7ulbq,,0,10,25,v3_round1,Decision,10.45.158.146,2019-03-11 14:30:27.563236+00:00,1,A3L04E6VTT3LCI,3WOKGM4L726EAE6R9SMYFZ6VI0YO0T,0.00,126,0,1,,,,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
127,ycubut2q,,0,26,25,v3_ra_outro,Dropouts,10.47.209.93,2019-03-11 14:30:28.266395+00:00,1,A3R854DUE2D0NW,3UN61F00HXFG2YK8YQ9EQP7RAVTR5Q,0.00,127,0,1,1,6,40,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
128,qyxvvnyi,,0,26,25,v3_ra_outro,Dropouts,10.45.86.42,2019-03-11 14:30:27.674817+00:00,1,A2MI6AUNBXGL47,34S9DKFK74FTPO20GLXUS20A438YNP,1.00,128,0,1,0,47,69,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
129,lfl39k8v,,0,26,25,v3_ra_outro,Dropouts,10.41.227.30,2019-03-11 14:30:28.271585+00:00,1,A2R8IV2PWFTY00,3NVC2EB65RPMLK9QY2DFJO24ZMHY39,3.00,129,0,1,1,26,6,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
130,75cmmwca,,0,26,25,v3_ra_outro,Dropouts,10.13.214.62,2019-03-11 14:30:28.281770+00:00,1,A1RATFICCKLCQ,32ZKVD547GDQ8CGFOAZVBD43ED03B0,0.00,130,0,1,0,22,25,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
131,hcffllnn,,0,26,25,v3_ra_outro,Dropouts,10.138.104.201,2019-03-11 14:30:29.426620+00:00,1,A272X64FOZFYLB,3TDXMTX3CCKZS3H3DMPA43K0JULI6T,0.00,131,0,1,0,9,65,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
132,ao95qof7,,0,26,25,v3_ra_outro,Dropouts,10.65.253.27,2019-03-11 14:30:29.959167+00:00,1,A2L9G4YBBC7Z99,33LKR6A5KFAUUVWH1SCXNEVSM0LT1N,1.00,132,0,1,0,90,94,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
133,k573nu9p,,0,1,25,v3_ra_intro,Introduction,10.29.117.222,2019-03-11 14:30:29.649221+00:00,1,AKON4ZPGX5DYQ,3QBD8R3Z229V92OSST90R2W8ZCEO49,0.00,133,0,1,,,,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
134,glcdqkcy,,0,26,25,v3_ra_outro,Dropouts,10.33.237.158,2019-03-11 14:30:31.099827+00:00,1,A214SYJ4S05Y2A,31EUONYN2WTU3F77CPAN0SWLCWBVOS,3.00,134,0,1,1,8,11,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
135,q1vtb1yq,,0,26,25,v3_ra_outro,Dropouts,10.65.78.238,2019-03-11 14:30:31.519653+00:00,1,ANPTDUX6LOGYY,3I7DHKZYGOQJZ8FZ7V9K90T877J5FA,0.00,135,0,1,1,5,16,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
136,zu8c8p5x,,0,26,25,v3_ra_outro,Dropouts,10.148.94.235,2019-03-11 14:30:31.424391+00:00,1,A1X3YR4OLS50R9,3FK0YFF9P06PTZG4D1W1VKQT8P8VVU,1.00,136,0,1,0,71,81,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
